activity,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24
eating,25.1517,29.7168,20.8239,10.6637,4.5756,2.4389,1.1516,0.4743,0.2498,0.1467,0.0829,0.0082,0.017,0,0,0.0054,0.016,0,0,0,0,0,0,0,0.0231,0,0,0,0,0,0,0.0086,0,0,0,0,0,0,0.0153,0,0,0,0,0.0023,0,0,0,0,0
education,0.359,0.7976,0.5526,0.492,0.3375,0.4482,0.2464,0.3724,0.3899,0.2348,0.3782,0.2442,0.4368,0.4957,0.4911,0.2927,0.3598,0.3215,0.1688,0.0684,0.0791,0.0992,0.1231,0.0422,0.1299,0.0607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exercise,4.0295,6.1972,2.9842,2.2366,0.8249,0.7245,0.6023,0.5003,0.2865,0.235,0.081,0.0974,0.0706,0.0223,0.0394,0.0304,0.025,0.0434,0,0.0023,0.0089,0.0034,0,0.0034,0,0,0,0.0151,0.0118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
household_activities,15.972,12.7542,8.9886,7.3345,4.9213,4.4805,3.5877,3.238,2.5063,2.5464,1.8405,1.5189,1.1242,0.9172,0.8148,0.7935,0.5367,0.4143,0.2484,0.2506,0.2038,0.1023,0.0548,0.062,0.0779,0.0669,0.0117,0.1034,0.0318,0,0.004,0.0062,0,0.0051,0.0076,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0
household_care,8.5904,4.0299,2.9932,2.1684,1.6831,1.3789,1.0616,0.8024,0.5723,0.4957,0.3416,0.3667,0.1971,0.2001,0.2173,0.1379,0.1,0.0997,0.0365,0.0566,0.0095,0.0021,0.0158,0.0331,0.0091,0.0048,0,0.007,0,0,0.0075,0.0147,0.0058,0,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,0,0
leisure,3.2788,5.3617,5.5603,6.8287,6.3614,6.5082,6.4084,5.9053,5.2995,4.443,4.1258,4.1665,3.3631,3.4001,3.3442,2.5336,2.1892,2.2157,1.7657,1.9826,1.8583,1.4208,1.2007,1.1708,0.7983,0.6958,0.6164,0.5224,0.2595,0.4148,0.1691,0.2116,0.2028,0.0425,0.0651,0.0769,0.027,0.0184,0.0145,0.0102,0.0126,0,0.0039,0.0015,0,0.006,0.0167,0,0
religion,2.2906,1.7748,1.626,1.1391,0.7561,0.5478,0.2849,0.1943,0.1709,0.0954,0.0703,0.0208,0.0099,0.0269,0.0056,0.0271,0.0062,0.002,0.01,0.0022,0,0,0.023,0.0017,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shopping,19.0685,8.6556,4.2397,3.0946,1.0564,0.9854,0.4789,0.3711,0.2704,0.2393,0.0458,0.0412,0.0328,0.0342,0.0314,0.0139,0,0.0294,0,0,0,0.0071,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeping,0.0152,0.0615,0.0786,0.2099,0.1596,0.2806,0.316,0.5339,0.7441,1.1538,1.7495,3.2643,4.2395,7.3762,8.5789,11.6774,10.8527,10.6369,8.1893,8.0709,5.0105,4.6419,2.9298,2.8512,1.6438,1.4269,0.7996,0.647,0.3807,0.3708,0.2619,0.1985,0.1256,0.07,0.0318,0.0947,0.0212,0.0328,0.0439,0.0025,0.058,0.0106,0.002,0.0318,0.0127,0.0171,0,0,0
traveling,18.0385,24.1509,17.2496,10.7619,5.8253,3.362,1.9123,1.2459,0.6513,0.3383,0.3257,0.2303,0.2436,0.109,0.0999,0.052,0.0587,0.0298,0.0135,0.0241,0.0449,0.0045,0.0261,0.0268,0.0121,0.0047,0.0024,0,0.0099,0,0,0.0068,0,0,0,0,0.0093,0.0069,0,0,0,0,0,0,0,0,0,0,0
work,1.3606,1.0523,0.4793,0.6774,0.3919,0.5745,0.6064,0.7134,0.9049,1.0722,0.6961,0.7701,1.247,1.5181,1.5409,3.3634,5.0713,3.6996,4.1152,2.7689,2.5851,2.166,1.5649,1.2287,0.917,0.7336,0.5828,0.4573,0.2688,0.2993,0.1152,0.1226,0.0692,0.0686,0.0245,0.0259,0.0501,0,0.0067,0.0499,0.0169,0.0263,0.0162,0.0052,0.0071,0,0,0,0